"ResponseID","name","ethnLabel","name.gender","guess","correct","correct.broad","notRussian","gender","age.group","educ","loc","ethnicity"
"R_0AJWUETEVQagtJn","Nazar.Reshetilo","Ukrainian","m",85,1,1,1,"f","18-25","higher","Moscow",7
"R_0AJWUETEVQagtJn","Ivan.Dmitriev","Russian","m",1,1,1,0,"f","18-25","higher","Moscow",7
"R_0AJWUETEVQagtJn","Faina.Gaponik","Belarusian","f",85,0,1,1,"f","18-25","higher","Moscow",7
"R_0AJWUETEVQagtJn","Erke.Tulyrbekova","Kazakh","f",63,0,0,1,"f","18-25","higher","Moscow",7
"R_0AJWUETEVQagtJn","Bobur.Turdyhodzhaev","Uzbek","m",2,1,1,1,"f","18-25","higher","Moscow",7
"R_0AJWUETEVQagtJn","Armine.Margaryan","Armenian","f",4,1,1,1,"f","18-25","higher","Moscow",7
"R_0AJWUETEVQagtJn","Roman.Shrayner","German","m",12,0,1,1,"f","18-25","higher","Moscow",7
"R_0AJWUETEVQagtJn","Aydar.Gilmanov","Tatar","m",14,1,1,1,"f","18-25","higher","Moscow",7
"R_0AJWUETEVQagtJn","Makar.Lomako","Belarusian","m",85,0,1,1,"f","18-25","higher","Moscow",7
"R_0AJWUETEVQagtJn","Amina.Fayzieva","Tajik","f",14,0,1,1,"f","18-25","higher","Moscow",7
"R_0AJWUETEVQagtJn","Evgeny.Vaisberg","German","m",12,0,1,1,"f","18-25","higher","Moscow",7
"R_0AJWUETEVQagtJn","Anastasia.Lukyanova","Russian","f",1,1,1,0,"f","18-25","higher","Moscow",7
"R_0AJWUETEVQagtJn","Vasil.Lukashevich","Belarusian","m",7,1,1,1,"f","18-25","higher","Moscow",7
"R_0AJWUETEVQagtJn","Ahmed.Kadiev","Dagestani","m",16,0,1,1,"f","18-25","higher","Moscow",7
"R_0AJWUETEVQagtJn","Miron.Smolyak","Belarusian","m",85,0,1,1,"f","18-25","higher","Moscow",7
"R_0AJWUETEVQagtJn","Amina.Fattakhova","Uzbek","f",14,0,1,1,"f","18-25","higher","Moscow",7
"R_0AJWUETEVQagtJn","Dmitry.Vays","German","m",13,1,1,1,"f","18-25","higher","Moscow",7
"R_0AJWUETEVQagtJn","Anastasiya.Shmidt","German","f",13,1,1,1,"f","18-25","higher","Moscow",7
"R_0AJWUETEVQagtJn","Shamil.Sultanbegov","Dagestani","m",16,0,1,1,"f","18-25","higher","Moscow",7
"R_0AJWUETEVQagtJn","Alexander.Miller","German","m",13,1,1,1,"f","18-25","higher","Moscow",7
"R_0AJWUETEVQagtJn","Zhibek.Nurdinova","Kyrgyz","f",2,0,1,1,"f","18-25","higher","Moscow",7
"R_0AJWUETEVQagtJn","Farzona.Radzhabova","Tajik","f",6,1,1,1,"f","18-25","higher","Moscow",7
"R_0AJWUETEVQagtJn","Irakli.Tsintsadze","Georgian","m",20,1,1,1,"f","18-25","higher","Moscow",7
